year,state_name,state_code,district_name,district_code,block_name,block_code,num_joint_acc_of_women,num_total_acc_of_women,num_women_beneficiary_worker_with_acc,num_women_beneficiary_active_worker_with_acc
2019-2020,Andhra Pradesh,28,Palnadu,751,Muppalla,4950,0,7555,7588,6149
2019-2020,Andhra Pradesh,28,Palnadu,751,Nadendla,4951,0,8558,8195,6507
2019-2020,Andhra Pradesh,28,Bapatla,750,Nagaram,4952,0,8533,10423,9047
2019-2020,Andhra Pradesh,28,Palnadu,751,Nakarikallu,4954,1,11888,11917,8838
2019-2020,Andhra Pradesh,28,Palnadu,751,Narasaraopeta,4953,4,14520,14967,11370
2019-2020,Andhra Pradesh,28,Bapatla,750,Nizampatnam,4955,4,9718,11990,8765
2019-2020,Andhra Pradesh,28,Palnadu,751,Nuzendla,4956,1,13270,13298,12069
2019-2020,Andhra Pradesh,28,Guntur,506,Pedakakani,4957,0,3748,4996,3007
2019-2020,Andhra Pradesh,28,Palnadu,751,Pedakurapadu,4958,2,8232,9196,6986
2019-2020,Andhra Pradesh,28,Guntur,506,Pedanandipadu,4959,0,5304,6091,5094
2019-2020,Andhra Pradesh,28,Guntur,506,Phirangipuram,4960,4,7559,9670,8086
2019-2020,Andhra Pradesh,28,Palnadu,751,Piduguralla,4961,0,8368,9152,7635
2019-2020,Andhra Pradesh,28,Bapatla,750,Pittalavanipalem,4962,0,4441,6164,5036
2019-2020,Andhra Pradesh,28,Guntur,506,Ponnur,4963,0,9436,8684,7147
2019-2020,Andhra Pradesh,28,Guntur,506,Prathipadu,4964,1,5777,7549,5546
2019-2020,Andhra Pradesh,28,Palnadu,751,Rajupalem,4965,2,9204,10175,9014
2019-2020,Andhra Pradesh,28,Palnadu,751,Rentacrintala,4966,0,9659,9827,8041
2019-2020,Andhra Pradesh,28,Bapatla,750,Repalle,4967,0,10851,12418,9876
2019-2020,Andhra Pradesh,28,Palnadu,751,Rompicherla,4968,3,11573,12864,11138
2019-2020,Andhra Pradesh,28,Palnadu,751,Sattenapalle,4969,0,10797,13922,11108
2019-2020,Andhra Pradesh,28,Palnadu,751,Savalyapuram,4970,1,7231,8109,6787
2019-2020,Andhra Pradesh,28,Guntur,506,Tadikonda,4972,1,6726,9131,6769
2019-2020,Andhra Pradesh,28,Guntur,506,Tenali,4973,0,6132,9484,6223
2019-2020,Andhra Pradesh,28,Guntur,506,Thadepalle,4971,0,1284,0,0
2019-2020,Andhra Pradesh,28,Guntur,506,Thullur,4974,0,3740,4228,1586
2019-2020,Andhra Pradesh,28,Bapatla,750,Tsundur,4975,0,6334,7835,6271
2019-2020,Andhra Pradesh,28,Guntur,506,Vatticherukuru,4976,0,3933,4619,3082
2019-2020,Andhra Pradesh,28,Palnadu,751,Veldurthi,4977,0,12329,11229,9560
2019-2020,Andhra Pradesh,28,Bapatla,750,Vemuru,4978,1,5147,7279,5049
2019-2020,Andhra Pradesh,28,Palnadu,751,Vinukonda,4979,0,12639,13628,12108
2019-2020,Andhra Pradesh,28,Ntr,749,A Konduru,5099,0,10987,12691,11178
2019-2020,Andhra Pradesh,28,Eluru,748,Agiripalle,5100,3,9326,11949,9821
2019-2020,Andhra Pradesh,28,Krishna,510,Avanigadda,5101,0,3873,4578,3587
2019-2020,Andhra Pradesh,28,Krishna,510,Bantumilli,5102,0,6966,7480,6189
2019-2020,Andhra Pradesh,28,Krishna,510,Bapulapadu,5103,0,9458,12245,10120
2019-2020,Andhra Pradesh,28,Krishna,510,Challapalli,5104,0,4488,5847,4864
2019-2020,Andhra Pradesh,28,Ntr,749,Chandarlapadu,5105,2,12551,15675,13784
2019-2020,Andhra Pradesh,28,Eluru,748,Chatrai,5106,2,10989,11856,9830
2019-2020,Andhra Pradesh,28,Ntr,749,G Konduru,5107,3,8556,11606,9935
2019-2020,Andhra Pradesh,28,Ntr,749,Gampalagudem,5108,2,12534,16166,14098
2019-2020,Andhra Pradesh,28,Krishna,510,Gannavaram,5109,0,7383,10639,7781
2019-2020,Andhra Pradesh,28,Krishna,510,Ghantasala,5110,0,5913,7005,6209
2019-2020,Andhra Pradesh,28,Krishna,510,Gudivada,5111,0,4602,5845,4671
2019-2020,Andhra Pradesh,28,Krishna,510,Gudlavalleru,5112,0,6570,7468,6282
2019-2020,Andhra Pradesh,28,Krishna,510,Gudur,5113,0,6686,7892,6986
2019-2020,Andhra Pradesh,28,Ntr,749,Ibrahimpatnam,5114,0,6911,5873,4376
2019-2020,Andhra Pradesh,28,Ntr,749,Jaggayyapeta,5115,0,15926,17731,15612
2019-2020,Andhra Pradesh,28,Eluru,748,Kaikalur,5116,0,6261,10862,8179
2019-2020,Andhra Pradesh,28,Eluru,748,Kalidindi,5117,0,6790,8910,6974
2019-2020,Andhra Pradesh,28,Ntr,749,Kanchika Cherla,5118,2,7907,10220,7789
2019-2020,Andhra Pradesh,28,Krishna,510,Kankipadu,5119,0,5970,8684,6727
2019-2020,Andhra Pradesh,28,Krishna,510,Koduru,5120,0,8583,9380,8315
2019-2020,Andhra Pradesh,28,Krishna,510,Kruthivennu,5121,0,5543,6913,5384
