state_name,district_name,block_name,state_code,district_code,block_code,total_shg_loan_amount
Andhra Pradesh,Konaseema,Pamarru,28,747,4898,15915000
Andhra Pradesh,Konaseema,Ramachandrapuram,28,747,4906,31445000
Andhra Pradesh,Konaseema,Ravulapalem,28,747,4909,94771000
Andhra Pradesh,Konaseema,Rayavaram,28,747,4910,29455000
Andhra Pradesh,Konaseema,Razole,28,747,4911,49855000
Andhra Pradesh,Konaseema,Sakhinetipalle,28,747,4912,53845000
Andhra Pradesh,Konaseema,Uppalaguptam,28,747,4919,49510523
Andhra Pradesh,Krishna,Avanigadda,28,510,5101,62266800
Andhra Pradesh,Krishna,Bantumilli,28,510,5102,43138000
Andhra Pradesh,Krishna,Bapulapadu,28,510,5103,47769500
Andhra Pradesh,Krishna,Challapalli,28,510,5104,112618992
Andhra Pradesh,Krishna,Gannavaram,28,510,5109,41825000
Andhra Pradesh,Krishna,Ghantasala,28,510,5110,28241000
Andhra Pradesh,Krishna,Gudivada,28,510,5111,65020000
Andhra Pradesh,Krishna,Gudlavalleru,28,510,5112,48433500
Andhra Pradesh,Krishna,Guduru,28,510,5113,97078500
Andhra Pradesh,Krishna,Kankipadu,28,510,5119,47115000
Andhra Pradesh,Krishna,Koduru,28,510,5120,62440000
Andhra Pradesh,Krishna,Kruttivennu,28,510,5121,85437500
Andhra Pradesh,Krishna,Machilipatnam,28,510,5122,80618000
Andhra Pradesh,Krishna,Mopidevi,28,510,5124,53519500
Andhra Pradesh,Krishna,Movva,28,510,5125,69404607
Andhra Pradesh,Krishna,Nagayalanka,28,510,5129,17290000
Andhra Pradesh,Krishna,Nandivada,28,510,5131,56447000
Andhra Pradesh,Krishna,Pamarru,28,510,5133,57345000
Andhra Pradesh,Krishna,Pamidimukkala,28,510,5134,30905000
Andhra Pradesh,Krishna,Pedana,28,510,5135,29903000
Andhra Pradesh,Krishna,Pedaparupudi,28,510,5136,48783616
Andhra Pradesh,Krishna,Penamaluru,28,510,5137,133560000
Andhra Pradesh,Krishna,Thotlavalluru,28,510,5140,66500000
Andhra Pradesh,Krishna,Unguturu,28,510,5142,27822500
Andhra Pradesh,Krishna,Vuyyuru,28,510,5148,33020000
Andhra Pradesh,Kurnool,Adoni,28,511,5149,34870850
Andhra Pradesh,Kurnool,Alur,28,511,5151,22201000
Andhra Pradesh,Kurnool,Aspari,28,511,5152,14560922
Andhra Pradesh,Kurnool,C.Belagal,28,511,5157,268466149
Andhra Pradesh,Kurnool,Chippagiri,28,511,5159,30492095
Andhra Pradesh,Kurnool,Devanakonda,28,511,5160,23345736
Andhra Pradesh,Kurnool,Gonegandla,28,511,5164,10785000
Andhra Pradesh,Kurnool,Gudur,28,511,5166,14430000
Andhra Pradesh,Kurnool,Halaharvi,28,511,5167,51151500
Andhra Pradesh,Kurnool,Holagunda,28,511,5168,8889824
Andhra Pradesh,Kurnool,Kallur,28,511,5170,21027561
Andhra Pradesh,Kurnool,Kodumur,28,511,5171,20305000
Andhra Pradesh,Kurnool,Kosigi,28,511,5174,13130000
Andhra Pradesh,Kurnool,Kowthalam,28,511,5176,24370831
Andhra Pradesh,Kurnool,Krishnagiri,28,511,5177,15208741
Andhra Pradesh,Kurnool,Kurnool,28,511,5178,76092455
Andhra Pradesh,Kurnool,Maddikera (East),28,511,5179,75955000
Andhra Pradesh,Kurnool,Mantralayam,28,511,5181,13421403
Andhra Pradesh,Kurnool,Nandavaram,28,511,5183,26003138
Andhra Pradesh,Kurnool,Orvakal,28,511,5186,52460000
Andhra Pradesh,Kurnool,Pattikonda,28,511,5191,37881486
Andhra Pradesh,Kurnool,Peddakadabur,28,511,5193,11000000
Andhra Pradesh,Kurnool,Tuggali,28,511,5198,28755147
Andhra Pradesh,Kurnool,Veldurthi,28,511,5200,35366141
Andhra Pradesh,Kurnool,Yemmiganur,28,511,5202,23155000
Andhra Pradesh,Nandyal,Allagadda,28,755,5150,14790928
Andhra Pradesh,Nandyal,Atmakur,28,755,5153,14400000
Andhra Pradesh,Nandyal,Banaganapalle,28,755,5154,70684035
Andhra Pradesh,Nandyal,Bandi Atmakur,28,755,5155,17670000
Andhra Pradesh,Nandyal,Bethamcherla,28,755,5156,9736410
Andhra Pradesh,Nandyal,Chagalamarri,28,755,5158,22145595
Andhra Pradesh,Nandyal,Dhone Alias Dronachalam,28,755,5161,12953000
Andhra Pradesh,Nandyal,Dornipadu,28,755,5162,46164664
Andhra Pradesh,Nandyal,Gadivemula,28,755,5163,21886621
Andhra Pradesh,Nandyal,Gospadu,28,755,5165,34625000
Andhra Pradesh,Nandyal,Jupadu Bungalow,28,755,5169,19314980
Andhra Pradesh,Nandyal,Koilakuntla,28,755,5172,25791711
Andhra Pradesh,Nandyal,Kolimigundla,28,755,5173,19596176
Andhra Pradesh,Nandyal,Kothapalle,28,755,5175,10460000
Andhra Pradesh,Nandyal,Mahanandi,28,755,5180,54146121
Andhra Pradesh,Nandyal,Midthur,28,755,5182,29184442
Andhra Pradesh,Nandyal,Nandikotkur,28,755,5184,65993456
Andhra Pradesh,Nandyal,Nandyal,28,755,5185,90742507
Andhra Pradesh,Nandyal,Owk,28,755,5187,18465000
Andhra Pradesh,Nandyal,Pagidyala,28,755,5188,12835000
Andhra Pradesh,Nandyal,Pamulapadu,28,755,5189,10565000
Andhra Pradesh,Nandyal,Panyam,28,755,5190,23802000
Andhra Pradesh,Nandyal,Peapully,28,755,5192,47397755
Andhra Pradesh,Nandyal,Rudravaram,28,755,5194,19614283
Andhra Pradesh,Nandyal,Sanjamala,28,755,5195,18498423
Andhra Pradesh,Nandyal,Sirivel,28,755,5196,47110000
Andhra Pradesh,Nandyal,Uyyalawada,28,755,5199,9749498
Andhra Pradesh,Nandyal,Velugodu,28,755,5201,79020324
Andhra Pradesh,Ntr,A.Konduru,28,749,5099,76140500
Andhra Pradesh,Ntr,Chandarlapadu,28,749,5105,83734500
Andhra Pradesh,Ntr,G.Konduru,28,749,5107,25571663
Andhra Pradesh,Ntr,Gampalagudem,28,749,5108,40370000
Andhra Pradesh,Ntr,Ibrahimpatnam,28,749,5114,31890000
Andhra Pradesh,Ntr,Jaggayyapeta,28,749,5115,48994900
Andhra Pradesh,Ntr,Kanchikacherla,28,749,5118,76790000
Andhra Pradesh,Ntr,Mylavaram,28,749,5128,17650000
Andhra Pradesh,Ntr,Nandigama,28,749,5130,41646000
Andhra Pradesh,Ntr,Penuganchiprolu,28,749,5138,7145000
Andhra Pradesh,Ntr,Reddigudem,28,749,5139,59500554
Andhra Pradesh,Ntr,Tiruvuru,28,749,5141,29338801
Andhra Pradesh,Ntr,Vatsavai,28,749,5143,104425000
Andhra Pradesh,Ntr,Veerullapadu,28,749,5144,44230000
Andhra Pradesh,Ntr,Vijayawada Rural,28,749,5145,40962000
Andhra Pradesh,Ntr,Vissannapet,28,749,5147,55220000
Andhra Pradesh,Palnadu,Amaravathi,28,751,4923,34150000
