year,state_code,state_name,district_code,district_name,block_code,block_name,num_jobcards_applied,num_jobcards_issued,total_reg_workers,women_reg_workers,num_of_active_job_cards
2019-2020,28,Andhra Pradesh,505,East Godavari,4881,Kadiam,7086,7086,7264,4484,2848
2019-2020,28,Andhra Pradesh,747,Konaseema,4894,Mandapeta,9218,9218,17277,10213,5881
2019-2020,28,Andhra Pradesh,505,East Godavari,4871,Anaparthi,9096,9096,12388,6690,5291
2019-2020,28,Andhra Pradesh,505,East Godavari,4873,Biccavolu,15863,15863,18255,9655,8260
2019-2020,28,Andhra Pradesh,746,Kakinada,4899,Pedapudi,13511,13511,23093,11277,8393
2019-2020,28,Andhra Pradesh,746,Kakinada,4885,Karapa,15147,15147,21097,10448,9298
2019-2020,28,Andhra Pradesh,746,Kakinada,4916,Thallarevu,17547,17547,17046,9680,8325
2019-2020,28,Andhra Pradesh,746,Kakinada,4882,Kajuluru,16689,16689,21767,10379,8987
2019-2020,28,Andhra Pradesh,747,Konaseema,4906,Ramachandrapuram,15509,15509,23714,11511,9752
2019-2020,28,Andhra Pradesh,747,Konaseema,4910,Rayavaram,11343,11343,15819,8450,7085
2019-2020,28,Andhra Pradesh,747,Konaseema,4884,Kapileswarapuram,14554,14554,20340,10056,9177
2019-2020,28,Andhra Pradesh,747,Konaseema,4867,Alamuru,11828,11828,13181,6795,6891
2019-2020,28,Andhra Pradesh,747,Konaseema,4872,Atreyapuram,10078,10078,13583,6992,5814
2019-2020,28,Andhra Pradesh,747,Konaseema,4909,Ravulapalem,11876,11876,15203,8474,7118
2019-2020,28,Andhra Pradesh,747,Konaseema,4898,K.Gangavaram,16341,16341,25140,11754,11493
2019-2020,28,Andhra Pradesh,747,Konaseema,4891,Kothapeta,13533,13533,20215,10063,7645
2019-2020,28,Andhra Pradesh,747,Konaseema,4897,P Gannavaram,14150,14150,16954,8896,8644
2019-2020,28,Andhra Pradesh,747,Konaseema,4870,Ambajipeta,13180,13180,14057,8287,7424
2019-2020,28,Andhra Pradesh,747,Konaseema,4866,Ainavilli,12351,12351,18932,9745,8671
2019-2020,28,Andhra Pradesh,747,Konaseema,4896,Mummidivaram,9630,9630,13622,7216,6080
2019-2020,28,Andhra Pradesh,747,Konaseema,4879,I Polavaram,11995,11995,18867,9687,8477
2019-2020,28,Andhra Pradesh,747,Konaseema,4886,Katrenikona,17971,17971,18910,10230,7888
2019-2020,28,Andhra Pradesh,747,Konaseema,4919,Uppalaguptam,14485,14485,18065,8776,8668
2019-2020,28,Andhra Pradesh,747,Konaseema,4869,Amalapuram,15442,15442,15330,9224,8179
2019-2020,28,Andhra Pradesh,747,Konaseema,4868,Allavaram,11339,11339,13502,7623,7048
2019-2020,28,Andhra Pradesh,747,Konaseema,4893,Mamidikuduru,9096,9096,9082,4698,3860
2019-2020,28,Andhra Pradesh,747,Konaseema,4911,Razole,8099,8099,9228,5224,4254
2019-2020,28,Andhra Pradesh,747,Konaseema,4892,Malikipuram,6879,6879,10525,5624,4465
2019-2020,28,Andhra Pradesh,747,Konaseema,4912,Sakhinetipalle,7672,7672,7861,4185,4895
2019-2020,28,Andhra Pradesh,746,Kakinada,6501,Rowthulapudi,15912,15912,24651,12291,10366
2019-2020,28,Andhra Pradesh,745,Alluri Sitharama Raju,5076,Kunavaram,9872,9872,13615,6968,6244
2019-2020,28,Andhra Pradesh,745,Alluri Sitharama Raju,5062,Chintur,11875,11875,16940,8942,7899
2019-2020,28,Andhra Pradesh,745,Alluri Sitharama Raju,5091,Vararamachandrapuram,8121,8121,13549,6813,6266
