state_name,state_code,district_name,district_code,block_name,block_code,gw_stge_of_extraction,gw_extraction_category
Haryana,6,Panipat,71,Panipat,534,192.84813593408904,Over-exploited
Haryana,6,Panipat,71,Samalkha,535,230.9986896436136,Over-exploited
Haryana,6,Panipat,71,Sanauli Khurd,7023,152.67170804827427,Over-exploited
Haryana,6,Rewari,72,Bawal,536,112.8264477740016,Over-exploited
Haryana,6,Rewari,72,Jatusana,537,166.20458974944253,Over-exploited
Haryana,6,Rewari,72,Khol At Rewari,538,132.57987394044773,Over-exploited
Haryana,6,Rewari,72,Nahar,539,173.2078797711745,Over-exploited
Haryana,6,Rewari,72,Rewari,540,106.69765107221534,Over-exploited
Haryana,6,Rewari,72,Dahina,7104,92.1835127,Critical
Haryana,6,Rewari,72,Dharuhera,7358,141.9387185889603,Over-exploited
Haryana,6,Rohtak,73,Kalanaur,541,27.350142206947453,Safe
Haryana,6,Rohtak,73,Lakhan Majra,542,51.51776637745572,Safe
Haryana,6,Rohtak,73,Maham,543,53.618220976957055,Safe
Haryana,6,Rohtak,73,Rohtak,544,54.49436678772352,Safe
Haryana,6,Rohtak,73,Sampla,545,58.28428442146701,Safe
Haryana,6,Sirsa,74,Baragudha,546,76.30932792,Semi-critical
Haryana,6,Sirsa,74,Dabwali,547,123.19666932077357,Over-exploited
Haryana,6,Sirsa,74,Ellenabad,548,244.46720292563217,Over-exploited
Haryana,6,Sirsa,74,Nathusari Chopta,549,106.5745766,Over-exploited
Haryana,6,Sirsa,74,Odhan,550,204.8546691403834,Over-exploited
Haryana,6,Sirsa,74,Rania,551,147.51814780708247,Over-exploited
Haryana,6,Sirsa,74,Sirsa,552,213.50366714184327,Over-exploited
Haryana,6,Sonipat,75,Ganaur,553,142.79728843699277,Over-exploited
Haryana,6,Sonipat,75,Gohana,554,51.82041807921086,Safe
Haryana,6,Sonipat,75,Kathura,555,44.347302628633216,Safe
Haryana,6,Sonipat,75,Kharkhoda,556,60.47706744104754,Safe
Haryana,6,Sonipat,75,Mundlana,557,120.4632337352479,Over-exploited
Haryana,6,Sonipat,75,Rai,558,194.93403846053056,Over-exploited
Haryana,6,Sonipat,75,Sonipat,559,127.08595236908512,Over-exploited
Haryana,6,Sonipat,75,Murthal,6778,203.0968314504329,Over-exploited
Haryana,6,Yamunanagar,76,Bilaspur,560,125.89423018995952,Over-exploited
Haryana,6,Yamunanagar,76,Chhachhrauli,561,103.1600646284772,Over-exploited
Haryana,6,Yamunanagar,76,Jagadhri,562,179.3123184219397,Over-exploited
Haryana,6,Yamunanagar,76,Radaur,564,207.8313683610841,Over-exploited
Haryana,6,Yamunanagar,76,Sadaura (Part),565,95.39076302085591,Critical
Haryana,6,Yamunanagar,76,Partap Nagar,7105,125.98592092574734,Over-exploited
Haryana,6,Nuh,604,Ferozepur Jhirka,476,90.71238581877996,Critical
Haryana,6,Nuh,604,Nagina,478,43.04733303,Safe
Haryana,6,Nuh,604,Nuh,479,36.13623950832744,Safe
Haryana,6,Nuh,604,Punahana,481,93.42979883200324,Critical
Haryana,6,Nuh,604,Taoru,483,146.80996041885862,Over-exploited
Haryana,6,Nuh,604,Indri,7101,70.59234677,Semi-critical
Haryana,6,Nuh,604,Pingwan,7102,39.26925433572209,Safe
Haryana,6,Palwal,619,Hassanpur,465,99.91786702740758,Critical
Haryana,6,Palwal,619,Hathin,466,64.59386081775492,Safe
Haryana,6,Palwal,619,Hodal,467,86.11514047169399,Semi-critical
Haryana,6,Palwal,619,Palwal,468,77.47447076597106,Semi-critical
Haryana,6,Palwal,619,Prithla,6734,151.58578674429432,Over-exploited
Haryana,6,Palwal,619,Badoli,7103,223.21703063712496,Over-exploited
Haryana,6,Charki Dadri,701,Badhra,453,244.1923574674706,Over-exploited
Haryana,6,Charki Dadri,701,Charkhi Dadri,7092,64.88353674738735,Safe
Haryana,6,Charki Dadri,701,Baund,7106,31.274594163509867,Safe
