as_on,state_name,state_code,district_name,district_code,block_name,block_code,sc_population,st_population,gen_population
01-04-2021,Andhra Pradesh,28,East Godavari,505,Samalkota,4913,17665,373,68733
01-04-2021,Andhra Pradesh,28,East Godavari,505,Sankhavaram,4914,10230,5981,46200
01-04-2021,Andhra Pradesh,28,East Godavari,505,Seethanagaram,4915,15655,1656,57937
01-04-2021,Andhra Pradesh,28,East Godavari,505,Tallaravu,4916,20484,535,67966
01-04-2021,Andhra Pradesh,28,East Godavari,505,Thondangi,4917,18506,109,75430
01-04-2021,Andhra Pradesh,28,East Godavari,505,Tuni,4918,11317,1076,78883
01-04-2021,Andhra Pradesh,28,East Godavari,505,U.Kothapalli,4890,14388,577,74893
01-04-2021,Andhra Pradesh,28,East Godavari,505,Uppalaguptam,4919,25082,427,38629
01-04-2021,Andhra Pradesh,28,East Godavari,505,V.R.Puram,5091,754,16347,9608
01-04-2021,Andhra Pradesh,28,East Godavari,505,Y. Ramavaram,4920,207,29951,2218
01-04-2021,Andhra Pradesh,28,East Godavari,505,Yeleswaram,4921,11700,3064,35221
01-04-2021,Andhra Pradesh,28,Guntur,506,Amaravathi,4923,20011,3698,47215
01-04-2021,Andhra Pradesh,28,Guntur,506,Amruthalur,4924,23117,2224,24537
01-04-2021,Andhra Pradesh,28,Guntur,506,Atchempet,4925,14666,7271,42722
01-04-2021,Andhra Pradesh,28,Guntur,506,Bapatla,4926,12083,5250,58216
01-04-2021,Andhra Pradesh,28,Guntur,506,Bellamkonda,4927,5370,4599,24056
01-04-2021,Andhra Pradesh,28,Guntur,506,Bhattiprolu,4928,14685,2216,37673
01-04-2021,Andhra Pradesh,28,Guntur,506,Bollapalli,4929,10539,16984,35438
01-04-2021,Andhra Pradesh,28,Guntur,506,Chebrolu,4930,16100,2391,61389
01-04-2021,Andhra Pradesh,28,Guntur,506,Cherukupalli,4931,6661,2696,52751
01-04-2021,Andhra Pradesh,28,Guntur,506,Chilakaluripet,4932,11889,2629,37892
01-04-2021,Andhra Pradesh,28,Guntur,506,Dachepalli,4933,8714,2874,30418
01-04-2021,Andhra Pradesh,28,Guntur,506,Duggiralai,4934,21412,1865,43615
01-04-2021,Andhra Pradesh,28,Guntur,506,Durgi,4935,8281,5600,39924
01-04-2021,Andhra Pradesh,28,Guntur,506,Edlapadu,4936,15885,3005,42338
01-04-2021,Andhra Pradesh,28,Guntur,506,Guntur Rural,4937,9023,1156,27710
01-04-2021,Andhra Pradesh,28,Guntur,506,Gurazala,4938,2697,8153,32944
01-04-2021,Andhra Pradesh,28,Guntur,506,Ipur,4939,9642,3353,34974
01-04-2021,Andhra Pradesh,28,Guntur,506,Kakumanu,4940,11502,2269,31284
01-04-2021,Andhra Pradesh,28,Guntur,506,Karempudi,4941,8257,4482,44543
01-04-2021,Andhra Pradesh,28,Guntur,506,Karlapalem,4942,10130,4176,46050
01-04-2021,Andhra Pradesh,28,Guntur,506,Kollipara,4943,17629,1708,40805
01-04-2021,Andhra Pradesh,28,Guntur,506,Kolluru,4944,21220,2439,35122
01-04-2021,Andhra Pradesh,28,Guntur,506,Krosuru,4945,13454,3673,43122
01-04-2021,Andhra Pradesh,28,Guntur,506,Machavaram,4946,10340,4367,41530
01-04-2021,Andhra Pradesh,28,Guntur,506,Macherla,4947,9166,11882,39814
01-04-2021,Andhra Pradesh,28,Guntur,506,Mangalagiri,4948,1950,131,4232
01-04-2021,Andhra Pradesh,28,Guntur,506,Medikonduru,4949,16020,3572,44763
01-04-2021,Andhra Pradesh,28,Guntur,506,Muppalla,4950,8798,1913,34776
01-04-2021,Andhra Pradesh,28,Guntur,506,Nadendla,4951,13755,1879,35732
01-04-2021,Andhra Pradesh,28,Guntur,506,Nagaram,4952,10280,1365,32086
01-04-2021,Andhra Pradesh,28,Guntur,506,Narasaraopet,4953,20503,5216,69913
01-04-2021,Andhra Pradesh,28,Guntur,506,Nekarikallu,4954,8098,8091,52135
01-04-2021,Andhra Pradesh,28,Guntur,506,Nizampatnam,4955,5851,1678,48270
